datestamp,country_code,marketing_channel,conversions
2014-11-01,de,Display Ads,1174
2014-11-01,de,KAYAK Deals Email,57
2014-11-01,de,Search Engine Ads,1122
2014-11-01,de,Search Engine Results,976
2014-11-01,es,Display Ads,246
2014-11-01,es,KAYAK Deals Email,6
2014-11-01,es,Search Engine Ads,641
2014-11-01,es,Search Engine Results,918
2014-11-01,fr,Display Ads,370
2014-11-01,fr,KAYAK Deals Email,13
2014-11-01,fr,Search Engine Ads,538
2014-11-01,fr,Search Engine Results,890
2014-11-01,gb,Display Ads,249
2014-11-01,gb,KAYAK Deals Email,3
2014-11-01,gb,Search Engine Ads,91
2014-11-01,gb,Search Engine Results,475
2014-11-01,gb,Travel Search Site,481
2014-11-01,it,Display Ads,160
2014-11-01,it,Search Engine Ads,259
2014-11-01,it,Search Engine Results,411
2014-11-01,us,Display Ads,8816
2014-11-01,us,KAYAK Deals Email,744
2014-11-01,us,Search Engine Ads,1737
2014-11-01,us,Search Engine Results,7367
2014-11-01,us,Travel Search Site,5
2014-11-02,de,Display Ads,1558
2014-11-02,de,KAYAK Deals Email,23
2014-11-02,de,Search Engine Ads,1766
2014-11-02,de,Search Engine Results,1573
2014-11-02,es,Display Ads,409
2014-11-02,es,KAYAK Deals Email,13
2014-11-02,es,Search Engine Ads,957
2014-11-02,es,Search Engine Results,1263
2014-11-02,fr,Display Ads,547
2014-11-02,fr,KAYAK Deals Email,37
2014-11-02,fr,Search Engine Ads,613
2014-11-02,fr,Search Engine Results,1404
2014-11-02,gb,Display Ads,421
2014-11-02,gb,KAYAK Deals Email,6
2014-11-02,gb,Search Engine Ads,108
2014-11-02,gb,Search Engine Results,531
2014-11-02,gb,Travel Search Site,536
2014-11-02,it,Display Ads,194
2014-11-02,it,KAYAK Deals Email,3
2014-11-02,it,Search Engine Ads,321
2014-11-02,it,Search Engine Results,632
2014-11-02,us,Display Ads,11640
2014-11-02,us,KAYAK Deals Email,737
2014-11-02,us,Search Engine Ads,2453
2014-11-02,us,Search Engine Results,9634
2014-11-03,de,Display Ads,1571
2014-11-03,de,KAYAK Deals Email,20
2014-11-03,de,Search Engine Ads,1656
2014-11-03,de,Search Engine Results,1465
2014-11-03,es,Display Ads,448
2014-11-03,es,KAYAK Deals Email,6
2014-11-03,es,Search Engine Ads,1005
2014-11-03,es,Search Engine Results,1595
2014-11-03,fr,Display Ads,436
2014-11-03,fr,KAYAK Deals Email,13
2014-11-03,fr,Search Engine Ads,692
2014-11-03,fr,Search Engine Results,1336
2014-11-03,gb,Display Ads,341
2014-11-03,gb,Search Engine Ads,141
2014-11-03,gb,Search Engine Results,649
2014-11-03,gb,Travel Search Site,660
2014-11-03,it,Display Ads,280
2014-11-03,it,KAYAK Deals Email,6
2014-11-03,it,Search Engine Ads,432
2014-11-03,it,Search Engine Results,810
2014-11-03,us,Display Ads,14296
2014-11-03,us,KAYAK Deals Email,673
2014-11-03,us,Search Engine Ads,3001
2014-11-03,us,Search Engine Results,11428
2014-11-03,us,Travel Search Site,13
2014-11-04,de,Display Ads,1538
2014-11-04,de,KAYAK Deals Email,20
2014-11-04,de,Search Engine Ads,1558
2014-11-04,de,Search Engine Results,1407
2014-11-04,es,Display Ads,483
2014-11-04,es,KAYAK Deals Email,17
2014-11-04,es,Search Engine Ads,1215
2014-11-04,es,Search Engine Results,1721
2014-11-04,es,Travel Search Site,5
2014-11-04,fr,Display Ads,455
2014-11-04,fr,KAYAK Deals Email,40
2014-11-04,fr,Search Engine Ads,700
2014-11-04,fr,Search Engine Results,1114
2014-11-04,gb,Display Ads,387
2014-11-04,gb,KAYAK Deals Email,13
2014-11-04,gb,Search Engine Ads,200
2014-11-04,gb,Search Engine Results,582
2014-11-04,gb,Travel Search Site,737
2014-11-04,it,Display Ads,294
2014-11-04,it,KAYAK Deals Email,3
2014-11-04,it,Search Engine Ads,452
2014-11-04,it,Search Engine Results,798
2014-11-04,us,Display Ads,13906
2014-11-04,us,KAYAK Deals Email,782
2014-11-04,us,Search Engine Ads,3532
2014-11-04,us,Search Engine Results,11151
2014-11-04,us,Travel Search Site,8
2014-11-05,de,Display Ads,1478
2014-11-05,de,KAYAK Deals Email,17
2014-11-05,de,Search Engine Ads,1370
2014-11-05,de,Search Engine Results,1247
2014-11-05,es,Display Ads,383
2014-11-05,es,KAYAK Deals Email,13
2014-11-05,es,Search Engine Ads,1122
2014-11-05,es,Search Engine Results,1470
2014-11-05,fr,Display Ads,395
2014-11-05,fr,KAYAK Deals Email,34
2014-11-05,fr,Search Engine Ads,810
2014-11-05,fr,Search Engine Results,1029
2014-11-05,gb,Display Ads,418
2014-11-05,gb,KAYAK Deals Email,34
2014-11-05,gb,Search Engine Ads,190
2014-11-05,gb,Search Engine Results,481
2014-11-05,gb,Travel Search Site,745
2014-11-05,it,Display Ads,296
2014-11-05,it,KAYAK Deals Email,6
2014-11-05,it,Search Engine Ads,466
2014-11-05,it,Search Engine Results,744
2014-11-05,us,Display Ads,14019
2014-11-05,us,KAYAK Deals Email,805
2014-11-05,us,Search Engine Ads,3537
2014-11-05,us,Search Engine Results,10705
2014-11-05,us,Travel Search Site,8
2014-11-06,de,Display Ads,1202
2014-11-06,de,KAYAK Deals Email,27
2014-11-06,de,Search Engine Ads,1270
2014-11-06,de,Search Engine Results,1032
2014-11-06,es,Display Ads,364
2014-11-06,es,KAYAK Deals Email,6
2014-11-06,es,Search Engine Ads,1082
2014-11-06,es,Search Engine Results,1206
2014-11-06,fr,Display Ads,311
2014-11-06,fr,KAYAK Deals Email,10
2014-11-06,fr,Search Engine Ads,764
2014-11-06,fr,Search Engine Results,820
2014-11-06,gb,Display Ads,403
2014-11-06,gb,KAYAK Deals Email,17
2014-11-06,gb,Search Engine Ads,153
2014-11-06,gb,Search Engine Results,562
2014-11-06,gb,Travel Search Site,508
2014-11-06,it,Display Ads,268
2014-11-06,it,KAYAK Deals Email,6
2014-11-06,it,Search Engine Ads,494
2014-11-06,it,Search Engine Results,706
2014-11-06,us,Display Ads,13885
2014-11-06,us,KAYAK Deals Email,700
2014-11-06,us,Search Engine Ads,3293
2014-11-06,us,Search Engine Results,10602
2014-11-06,us,Travel Search Site,2
2014-11-07,de,Display Ads,1152
2014-11-07,de,KAYAK Deals Email,40
2014-11-07,de,Search Engine Ads,1146
2014-11-07,de,Search Engine Results,880
2014-11-07,es,Display Ads,307
2014-11-07,es,KAYAK Deals Email,20
2014-11-07,es,Search Engine Ads,847
2014-11-07,es,Search Engine Results,1002
2014-11-07,fr,Display Ads,314
2014-11-07,fr,KAYAK Deals Email,10
2014-11-07,fr,Search Engine Ads,575
2014-11-07,fr,Search Engine Results,820
2014-11-07,gb,Display Ads,302
2014-11-07,gb,KAYAK Deals Email,27
2014-11-07,gb,Search Engine Ads,169
2014-11-07,gb,Search Engine Results,483
2014-11-07,gb,Travel Search Site,470
2014-11-07,it,Display Ads,257
2014-11-07,it,KAYAK Deals Email,61
2014-11-07,it,Search Engine Ads,377
2014-11-07,it,Search Engine Results,651
2014-11-07,us,Display Ads,12377
2014-11-07,us,KAYAK Deals Email,561
2014-11-07,us,Search Engine Ads,3186
2014-11-07,us,Search Engine Results,9610
2014-11-07,us,Travel Search Site,5
2014-11-08,de,Display Ads,958
2014-11-08,de,KAYAK Deals Email,10
2014-11-08,de,Search Engine Ads,1047
2014-11-08,de,Search Engine Results,784
2014-11-08,es,Display Ads,256
2014-11-08,es,KAYAK Deals Email,6
2014-11-08,es,Search Engine Ads,641
2014-11-08,es,Search Engine Results,794
2014-11-08,fr,Display Ads,249
2014-11-08,fr,KAYAK Deals Email,6
2014-11-08,fr,Search Engine Ads,527
2014-11-08,fr,Search Engine Results,781
2014-11-08,gb,Display Ads,228
2014-11-08,gb,Search Engine Ads,141
2014-11-08,gb,Search Engine Results,405
2014-11-08,gb,Travel Search Site,335
2014-11-08,it,Display Ads,171
2014-11-08,it,Search Engine Ads,315
2014-11-08,it,Search Engine Results,466
2014-11-08,us,Display Ads,8893
2014-11-08,us,KAYAK Deals Email,452
2014-11-08,us,Search Engine Ads,2481
2014-11-08,us,Search Engine Results,7685
2014-11-09,de,Display Ads,1472
2014-11-09,de,KAYAK Deals Email,6
2014-11-09,de,Search Engine Ads,1669
2014-11-09,de,Search Engine Results,1488
2014-11-09,es,Display Ads,355
2014-11-09,es,KAYAK Deals Email,3
2014-11-09,es,Search Engine Ads,1065
2014-11-09,es,Search Engine Results,1292
2014-11-09,fr,Display Ads,301
2014-11-09,fr,KAYAK Deals Email,10
2014-11-09,fr,Search Engine Ads,568
2014-11-09,fr,Search Engine Results,1024
2014-11-09,gb,Display Ads,277
2014-11-09,gb,KAYAK Deals Email,40
2014-11-09,gb,Search Engine Ads,156
2014-11-09,gb,Search Engine Results,494
2014-11-09,gb,Travel Search Site,324
2014-11-09,it,Display Ads,215
2014-11-09,it,KAYAK Deals Email,10
2014-11-09,it,Search Engine Ads,352
2014-11-09,it,Search Engine Results,625
2014-11-09,us,Display Ads,10459
2014-11-09,us,KAYAK Deals Email,595
2014-11-09,us,Search Engine Ads,2508
2014-11-09,us,Search Engine Results,9095
2014-11-10,de,Display Ads,1413
2014-11-10,de,KAYAK Deals Email,6
2014-11-10,de,Search Engine Ads,1590
2014-11-10,de,Search Engine Results,1201
2014-11-10,es,Display Ads,444
2014-11-10,es,KAYAK Deals Email,17
2014-11-10,es,Search Engine Ads,1129
2014-11-10,es,Search Engine Results,1419
2014-11-10,fr,Display Ads,290
2014-11-10,fr,KAYAK Deals Email,13
2014-11-10,fr,Search Engine Ads,638
2014-11-10,fr,Search Engine Results,933
2014-11-10,gb,Display Ads,386
2014-11-10,gb,KAYAK Deals Email,20
2014-11-10,gb,Search Engine Ads,242
2014-11-10,gb,Search Engine Results,639
2014-11-10,gb,Travel Search Site,431
2014-11-10,it,Display Ads,223
2014-11-10,it,KAYAK Deals Email,3
2014-11-10,it,Search Engine Ads,462
2014-11-10,it,Search Engine Results,715
2014-11-10,us,Display Ads,14021
2014-11-10,us,KAYAK Deals Email,680
2014-11-10,us,Search Engine Ads,2781
2014-11-10,us,Search Engine Results,11001
2014-11-10,us,Travel Search Site,2
2014-11-11,de,Display Ads,1413
2014-11-11,de,KAYAK Deals Email,17
2014-11-11,de,Search Engine Ads,1353
