datestamp,country_code,marketing_channel,user_visits
2014-11-01,de,Display Ads,1855
2014-11-01,de,KAYAK Deals Email,47
2014-11-01,de,Search Engine Ads,2203
2014-11-01,de,Search Engine Results,1402
2014-11-01,es,Display Ads,556
2014-11-01,es,KAYAK Deals Email,20
2014-11-01,es,Search Engine Ads,1628
2014-11-01,es,Search Engine Results,1417
2014-11-01,fr,Display Ads,578
2014-11-01,fr,KAYAK Deals Email,10
2014-11-01,fr,Search Engine Ads,1479
2014-11-01,fr,Search Engine Results,1407
2014-11-01,gb,Display Ads,536
2014-11-01,gb,KAYAK Deals Email,13
2014-11-01,gb,Search Engine Ads,273
2014-11-01,gb,Search Engine Results,857
2014-11-01,gb,Travel Search Site,1168
2014-11-01,it,Display Ads,260
2014-11-01,it,Search Engine Ads,626
2014-11-01,it,Search Engine Results,609
2014-11-01,us,Display Ads,23256
2014-11-01,us,KAYAK Deals Email,2971
2014-11-01,us,Search Engine Ads,6531
2014-11-01,us,Search Engine Results,16714
2014-11-01,us,Travel Search Site,11
2014-11-02,de,Display Ads,2507
2014-11-02,de,KAYAK Deals Email,51
2014-11-02,de,Search Engine Ads,3416
2014-11-02,de,Search Engine Results,2099
2014-11-02,es,Display Ads,734
2014-11-02,es,KAYAK Deals Email,34
2014-11-02,es,Search Engine Ads,2336
2014-11-02,es,Search Engine Results,2068
2014-11-02,fr,Display Ads,907
2014-11-02,fr,KAYAK Deals Email,85
2014-11-02,fr,Search Engine Ads,2005
2014-11-02,fr,Search Engine Results,2169
2014-11-02,fr,Travel Search Site,2
2014-11-02,gb,Display Ads,746
2014-11-02,gb,KAYAK Deals Email,40
2014-11-02,gb,Search Engine Ads,439
2014-11-02,gb,Search Engine Results,1193
2014-11-02,gb,Travel Search Site,1586
2014-11-02,it,Display Ads,305
2014-11-02,it,KAYAK Deals Email,6
2014-11-02,it,Search Engine Ads,893
2014-11-02,it,Search Engine Results,963
2014-11-02,us,Display Ads,29114
2014-11-02,us,KAYAK Deals Email,1907
2014-11-02,us,Search Engine Ads,9290
2014-11-02,us,Search Engine Results,22018
2014-11-02,us,Travel Search Site,8
2014-11-03,de,Display Ads,2594
2014-11-03,de,KAYAK Deals Email,30
2014-11-03,de,Search Engine Ads,3474
2014-11-03,de,Search Engine Results,2181
2014-11-03,es,Display Ads,995
2014-11-03,es,KAYAK Deals Email,23
2014-11-03,es,Search Engine Ads,2883
2014-11-03,es,Search Engine Results,2847
2014-11-03,fr,Display Ads,847
2014-11-03,fr,KAYAK Deals Email,78
2014-11-03,fr,Search Engine Ads,2299
2014-11-03,fr,Search Engine Results,2238
2014-11-03,fr,Travel Search Site,2
2014-11-03,gb,Display Ads,816
2014-11-03,gb,Search Engine Ads,404
2014-11-03,gb,Search Engine Results,1512
2014-11-03,gb,Travel Search Site,1933
2014-11-03,it,Display Ads,444
2014-11-03,it,KAYAK Deals Email,6
2014-11-03,it,Search Engine Ads,1151
2014-11-03,it,Search Engine Results,1432
2014-11-03,it,Travel Search Site,2
2014-11-03,us,Display Ads,39007
2014-11-03,us,KAYAK Deals Email,1496
2014-11-03,us,Search Engine Ads,11556
2014-11-03,us,Search Engine Results,28496
2014-11-03,us,Travel Search Site,33
2014-11-04,de,Display Ads,2492
2014-11-04,de,KAYAK Deals Email,34
2014-11-04,de,Search Engine Ads,3211
2014-11-04,de,Search Engine Results,2165
2014-11-04,es,Display Ads,946
2014-11-04,es,KAYAK Deals Email,27
2014-11-04,es,Search Engine Ads,2934
2014-11-04,es,Search Engine Results,2745
2014-11-04,es,Travel Search Site,2
2014-11-04,fr,Display Ads,769
2014-11-04,fr,KAYAK Deals Email,34
2014-11-04,fr,Search Engine Ads,2168
2014-11-04,fr,Search Engine Results,1976
2014-11-04,gb,Display Ads,813
2014-11-04,gb,KAYAK Deals Email,23
2014-11-04,gb,Search Engine Ads,503
2014-11-04,gb,Search Engine Results,1378
2014-11-04,gb,Travel Search Site,1798
2014-11-04,it,Display Ads,478
2014-11-04,it,KAYAK Deals Email,13
2014-11-04,it,Search Engine Ads,1129
2014-11-04,it,Search Engine Results,1343
2014-11-04,us,Display Ads,37186
2014-11-04,us,KAYAK Deals Email,1445
2014-11-04,us,Search Engine Ads,13605
2014-11-04,us,Search Engine Results,27856
2014-11-04,us,Travel Search Site,38
2014-11-05,de,Display Ads,2227
2014-11-05,de,KAYAK Deals Email,30
2014-11-05,de,Search Engine Ads,3052
2014-11-05,de,Search Engine Results,1976
2014-11-05,es,Display Ads,849
2014-11-05,es,KAYAK Deals Email,30
2014-11-05,es,Search Engine Ads,2927
2014-11-05,es,Search Engine Results,2395
2014-11-05,fr,Display Ads,680
2014-11-05,fr,KAYAK Deals Email,122
2014-11-05,fr,Search Engine Ads,2110
2014-11-05,fr,Search Engine Results,1808
2014-11-05,gb,Display Ads,788
2014-11-05,gb,KAYAK Deals Email,47
2014-11-05,gb,Search Engine Ads,496
2014-11-05,gb,Search Engine Results,1141
2014-11-05,gb,Travel Search Site,1955
2014-11-05,it,Display Ads,457
2014-11-05,it,KAYAK Deals Email,27
2014-11-05,it,Search Engine Ads,1271
2014-11-05,it,Search Engine Results,1352
2014-11-05,us,Display Ads,37294
2014-11-05,us,KAYAK Deals Email,1346
2014-11-05,us,Search Engine Ads,14318
2014-11-05,us,Search Engine Results,26916
2014-11-05,us,Travel Search Site,24
2014-11-06,de,Display Ads,2136
2014-11-06,de,KAYAK Deals Email,37
2014-11-06,de,Search Engine Ads,2807
2014-11-06,de,Search Engine Results,1786
2014-11-06,es,Display Ads,720
2014-11-06,es,KAYAK Deals Email,20
2014-11-06,es,Search Engine Ads,2979
2014-11-06,es,Search Engine Results,2210
2014-11-06,fr,Display Ads,650
2014-11-06,fr,KAYAK Deals Email,30
2014-11-06,fr,Search Engine Ads,2151
2014-11-06,fr,Search Engine Results,1586
2014-11-06,fr,Travel Search Site,2
2014-11-06,gb,Display Ads,731
2014-11-06,gb,KAYAK Deals Email,44
2014-11-06,gb,Search Engine Ads,524
2014-11-06,gb,Search Engine Results,1199
2014-11-06,gb,Travel Search Site,1674
2014-11-06,it,Display Ads,444
2014-11-06,it,KAYAK Deals Email,20
2014-11-06,it,Search Engine Ads,1173
2014-11-06,it,Search Engine Results,1354
2014-11-06,us,Display Ads,37705
2014-11-06,us,KAYAK Deals Email,1261
2014-11-06,us,Search Engine Ads,14207
2014-11-06,us,Search Engine Results,26749
2014-11-06,us,Travel Search Site,5
2014-11-07,de,Display Ads,1870
2014-11-07,de,KAYAK Deals Email,30
2014-11-07,de,Search Engine Ads,2389
2014-11-07,de,Search Engine Results,1462
2014-11-07,es,Display Ads,636
2014-11-07,es,KAYAK Deals Email,20
2014-11-07,es,Search Engine Ads,2741
2014-11-07,es,Search Engine Results,1766
2014-11-07,fr,Display Ads,558
2014-11-07,fr,KAYAK Deals Email,20
2014-11-07,fr,Search Engine Ads,1909
2014-11-07,fr,Search Engine Results,1435
2014-11-07,fr,Travel Search Site,2
2014-11-07,gb,Display Ads,661
2014-11-07,gb,KAYAK Deals Email,30
2014-11-07,gb,Search Engine Ads,504
2014-11-07,gb,Search Engine Results,1081
2014-11-07,gb,Travel Search Site,1729
2014-11-07,it,Display Ads,372
2014-11-07,it,KAYAK Deals Email,27
2014-11-07,it,Search Engine Ads,1140
2014-11-07,it,Search Engine Results,1111
2014-11-07,us,Display Ads,31927
2014-11-07,us,KAYAK Deals Email,1499
2014-11-07,us,Search Engine Ads,12924
2014-11-07,us,Search Engine Results,23298
2014-11-07,us,Travel Search Site,8
2014-11-08,de,Display Ads,1638
2014-11-08,de,KAYAK Deals Email,17
2014-11-08,de,Search Engine Ads,2081
2014-11-08,de,Search Engine Results,1309
2014-11-08,es,Display Ads,465
2014-11-08,es,KAYAK Deals Email,10
2014-11-08,es,Search Engine Ads,1833
2014-11-08,es,Search Engine Results,1354
2014-11-08,fr,Display Ads,459
2014-11-08,fr,KAYAK Deals Email,27
2014-11-08,fr,Search Engine Ads,1452
2014-11-08,fr,Search Engine Results,1195
2014-11-08,gb,Display Ads,486
2014-11-08,gb,KAYAK Deals Email,13
2014-11-08,gb,Search Engine Ads,417
2014-11-08,gb,Search Engine Results,909
2014-11-08,gb,Travel Search Site,1507
2014-11-08,it,Display Ads,285
2014-11-08,it,KAYAK Deals Email,13
2014-11-08,it,Search Engine Ads,850
2014-11-08,it,Search Engine Results,782
2014-11-08,us,Display Ads,25131
2014-11-08,us,KAYAK Deals Email,979
2014-11-08,us,Search Engine Ads,9565
2014-11-08,us,Search Engine Results,18192
2014-11-09,de,Display Ads,2479
2014-11-09,de,KAYAK Deals Email,20
2014-11-09,de,Search Engine Ads,3238
2014-11-09,de,Search Engine Results,2417
2014-11-09,es,Display Ads,647
2014-11-09,es,KAYAK Deals Email,3
2014-11-09,es,Search Engine Ads,2351
2014-11-09,es,Search Engine Results,2178
2014-11-09,fr,Display Ads,589
2014-11-09,fr,KAYAK Deals Email,20
2014-11-09,fr,Search Engine Ads,1668
2014-11-09,fr,Search Engine Results,1824
2014-11-09,gb,Display Ads,616
2014-11-09,gb,KAYAK Deals Email,23
2014-11-09,gb,Search Engine Ads,435
2014-11-09,gb,Search Engine Results,1122
2014-11-09,gb,Travel Search Site,1592
2014-11-09,it,Display Ads,402
2014-11-09,it,KAYAK Deals Email,17
2014-11-09,it,Search Engine Ads,1125
2014-11-09,it,Search Engine Results,1005
2014-11-09,us,Display Ads,29148
2014-11-09,us,KAYAK Deals Email,1190
2014-11-09,us,Search Engine Ads,9924
2014-11-09,us,Search Engine Results,21834
2014-11-09,us,Travel Search Site,8
2014-11-10,de,Display Ads,2431
2014-11-10,de,KAYAK Deals Email,44
2014-11-10,de,Search Engine Ads,3447
2014-11-10,de,Search Engine Results,2305
2014-11-10,es,Display Ads,788
2014-11-10,es,KAYAK Deals Email,6
2014-11-10,es,Search Engine Ads,3255
2014-11-10,es,Search Engine Results,2649
2014-11-10,fr,Display Ads,572
2014-11-10,fr,KAYAK Deals Email,30
2014-11-10,fr,Search Engine Ads,1923
2014-11-10,fr,Search Engine Results,1736
2014-11-10,gb,Display Ads,793
2014-11-10,gb,KAYAK Deals Email,23
2014-11-10,gb,Search Engine Ads,700
2014-11-10,gb,Search Engine Results,1390
2014-11-10,gb,Travel Search Site,1856
2014-11-10,it,Display Ads,406
2014-11-10,it,KAYAK Deals Email,17
2014-11-10,it,Search Engine Ads,1425
2014-11-10,it,Search Engine Results,1234
2014-11-10,us,Display Ads,38645
2014-11-10,us,KAYAK Deals Email,1237
2014-11-10,us,Search Engine Ads,12114
2014-11-10,us,Search Engine Results,27223
2014-11-10,us,Travel Search Site,19
2014-11-11,de,Display Ads,2370
2014-11-11,de,KAYAK Deals Email,30
2014-11-11,de,Search Engine Ads,2870
2014-11-11,de,Search Engine Results,1941
2014-11-11,es,Display Ads,853
2014-11-11,es,KAYAK Deals Email,23
2014-11-11,es,Search Engine Ads,3106
2014-11-11,es,Search Engine Results,2546
2014-11-11,fr,Display Ads,693
2014-11-11,fr,KAYAK Deals Email,40
2014-11-11,fr,Search Engine Ads,1889
2014-11-11,fr,Search Engine Results,1900
2014-11-11,gb,Display Ads,810
2014-11-11,gb,KAYAK Deals Email,17
2014-11-11,gb,Search Engine Ads,589
2014-11-11,gb,Search Engine Results,1285
2014-11-11,gb,Travel Search Site,1776
2014-11-11,it,Display Ads,450
2014-11-11,it,KAYAK Deals Email,34
2014-11-11,it,Search Engine Ads,1280
2014-11-11,it,Search Engine Results,1058
2014-11-11,us,Display Ads,38352
2014-11-11,us,KAYAK Deals Email,856
